名称,家賃,管理費,家賃+管理費,敷金,礼金,間取り,面積,向き,種別,築年,住所,交通,目的地までの交通機関URL,SUUMOのURL
多磨霊園 2LDK 3階,90000,6000,96000,敷18万円,礼-,2LDK,54m2,東,マンション,築25年,東京都府中市白糸台１,京王線/多磨霊園駅 歩7分 or 西武多摩川線/白糸台駅 歩5分 or 京王線/武蔵野台駅 歩10分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都府中市白糸台１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100275115691/
柏たなか 1LDK 3階,90000,6000,96000,敷-,礼18万円,1LDK,52.55m2,南,アパート,築12年,千葉県柏市小青田,つくばエクスプレス/柏たなか駅 歩4分 or 東武野田線/流山おおたかの森駅 車14分(6.4km) or ＪＲ常磐線/柏駅 バス22分 (バス停)柏たなか駅前 歩4分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県柏市小青田&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100279123639/
柏たなか 1LDK 3階,90000,6000,96000,敷-,礼18万円,1LDK,52.55m2,南西,アパート,築12年,千葉県柏市小青田３,つくばエクスプレス/柏たなか駅 歩4分 or つくばエクスプレス/柏の葉キャンパス駅 歩37分 or 東武野田線/江戸川台駅 歩63分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県柏市小青田３&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100279149503/
南太田 2DK 6階,90000,7000,97000,敷9万円,礼9万円,2DK,43.69m2,南,マンション,築32年,神奈川県横浜市南区宮元町２,京急本線/南太田駅 歩10分 or ブルーライン/蒔田駅 歩4分 or ＪＲ京浜東北線/桜木町駅 歩35分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県横浜市南区宮元町２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100263773792/
アレックス千葉寺 2階,90000,8000,98000,敷-,礼9万円,2LDK,57.28m2,西,マンション,築23年,千葉県千葉市中央区千葉寺町,京成千原線/千葉寺駅 歩3分 or ＪＲ総武線/千葉駅 バス11分 (バス停)千葉寺駅入口 歩3分 or ＪＲ京葉線/蘇我駅 歩20分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県千葉市中央区千葉寺町&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100275181217/
グランドパレスNS-10 9階,90000,8000,98000,敷18万円,礼9万円,2LDK,50.99m2,南,マンション,築15年,茨城県つくば市みどりの１,つくばエクスプレス/みどりの駅 歩1分,https://www.google.com/maps/dir/?api=1&language=ja&origin=茨城県つくば市みどりの１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100105801566/
ＬＥ－ＣＩＥＬ　ＭＫ 3階,90000,8000,98000,敷-,礼-,1LDK,42.49m2,北西,マンション,新築,千葉県船橋市飯山満町２,東葉高速鉄道/飯山満駅 歩1分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市飯山満町２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100276272784/
三生ハウス 4階,90000,8000,98000,敷-,礼-,2DK,42m2,南,マンション,築27年,東京都東久留米市東本町,西武池袋線/東久留米駅 歩5分 or 西武池袋線/ひばりヶ丘駅 歩20分 or 西武池袋線/清瀬駅 歩28分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都東久留米市東本町&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100277783067/
塚本アパートメント 5階,90000,10000,100000,敷9万円,礼9万円,1LDK,51.72m2,南東,マンション,築33年,東京都調布市菊野台１,京王線/柴崎駅 歩3分 or 京王線/つつじヶ丘駅 歩9分 or 京王線/国領駅 歩16分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都調布市菊野台１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100272757694/
キャトルセゾンＧ 2階,91000,5000,96000,敷-,礼12万円,2LDK,64.46m2,南,アパート,築7年,千葉県柏市東逆井１,東武野田線/逆井駅 歩5分 or 東武野田線/増尾駅 歩11分 or 東武野田線/新柏駅 歩28分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県柏市東逆井１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100274035861/
Ｙａｍａｔｏ海神駅前 2階,91000,5000,96000,敷9.1万円,礼9.1万円,1LDK,40.16m2,東,マンション,築3年,千葉県船橋市海神６,京成本線/海神駅 歩1分 or ＪＲ総武線/西船橋駅 歩19分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市海神６&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281267968/
ローズデール 4階,91000,8000,99000,敷9.1万円,礼9.1万円,1LDK,45m2,南東,マンション,築18年,神奈川県大和市中央林間３,東急田園都市線/中央林間駅 歩4分 or 小田急江ノ島線/南林間駅 歩21分 or 小田急江ノ島線/東林間駅 歩22分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県大和市中央林間３&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100277727617/
ＬＥ－ＣＩＥＬ　ＭＫ 3階,91000,8000,99000,敷-,礼-,1LDK,42.49m2,北西,マンション,新築,千葉県船橋市飯山満町２,東葉高速鉄道/飯山満駅 歩1分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市飯山満町２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100276272869/
ドゥ　セードル 5階,91000,9000,100000,敷-,礼9.1万円,1LDK,44.62m2,南,マンション,築12年,千葉県千葉市中央区院内１,ＪＲ総武本線/東千葉駅 歩6分 or ＪＲ総武線/千葉駅 歩10分 or 千葉都市モノレール/栄町駅 歩5分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県千葉市中央区院内１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281843565/
南柏 2LDK 2階,92000,4000,96000,敷-,礼11.5万円,2LDK,50.51m2,南東,アパート,築7年,千葉県柏市豊町１,ＪＲ常磐線/南柏駅 歩5分 or 東武野田線/新柏駅 歩20分 or ＪＲ常磐線/柏駅 歩30分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県柏市豊町１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100213598574/
天王台 3LDK 2階,92000,4500,96500,敷-,礼9.2万円,3LDK,66.5m2,南東,マンション,築22年,千葉県我孫子市柴崎台３,ＪＲ常磐線/天王台駅 歩4分 or 東武野田線/柏駅 車14分(7.7km) or つくばエクスプレス/柏の葉キャンパス駅 車19分(10.6km),https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県我孫子市柴崎台３&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100276384395/
ラテル 3階,92000,4500,96500,敷-,礼23万円,1LDK,44.71m2,南,アパート,築4年,千葉県千葉市中央区千葉寺町,京成千原線/千葉寺駅 歩5分 or ＪＲ京葉線/蘇我駅 歩15分 or ＪＲ内房線/本千葉駅 歩25分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県千葉市中央区千葉寺町&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100278873452/
グレース　イマダ 8階,92000,6000,98000,敷-,礼-,1LDK,41.4m2,西,マンション,築16年,神奈川県厚木市旭町２,小田急小田原線/本厚木駅 歩2分 or 小田急小田原線/厚木駅 歩23分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県厚木市旭町２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281459994/
ビュー野火止弐番館 2階,92000,6300,98300,敷18.4万円,礼-,2SLDK,58.5m2,南西,マンション,築21年,埼玉県新座市野火止５,ＪＲ武蔵野線/新座駅 歩3分 or 東武東上線/志木駅 歩36分 or 東武東上線/朝霞台駅 歩42分,https://www.google.com/maps/dir/?api=1&language=ja&origin=埼玉県新座市野火止５&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281819505/
サニーウェル仲村 3階,92000,8000,100000,敷9.2万円,礼4.6万円,3LDK,74.89m2,南,マンション,築22年,千葉県八千代市村上南５,東葉高速鉄道/村上駅 歩1分 or 京成本線/勝田台駅 歩16分 or 東葉高速鉄道/東葉勝田台駅 歩16分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県八千代市村上南５&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100279463719/
都筑ふれあいの丘 1LDK 4階,92000,8000,100000,敷18.4万円,礼-,1LDK,59.27m2,南東,マンション,築27年,神奈川県横浜市都筑区荏田南１,グリーンライン/都筑ふれあいの丘駅 歩2分 or ブルーライン/センター南駅 歩19分 or グリーンライン/川和町駅 歩22分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県横浜市都筑区荏田南１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281349042/
ナカムラビルヂング 2階,92000,8000,100000,敷7万円,礼13.8万円,2LDK,55.88m2,南西,マンション,築20年,埼玉県川口市南鳩ヶ谷３,埼玉高速鉄道/南鳩ヶ谷駅 歩4分 or 埼玉高速鉄道/鳩ヶ谷駅 歩22分 or ＪＲ京浜東北線/川口駅 歩22分,https://www.google.com/maps/dir/?api=1&language=ja&origin=埼玉県川口市南鳩ヶ谷３&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280288332/
